Academic Year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,"Educational 
Option Type","NSLP 
Provision 
Status",charter_y_n,"Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,enrollment_k12,free_meal_count_k12,percent_eligible_free_k12,frpm_count_k12,frpm_percent_eligible_k12,"Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2018-2019,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,192,47,24.50%,55,28.60%,191,46,24.10%,54,28.30%,Y
2018-2019,1,61119,126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,5,427,89,20.80%,98,23.00%,427,89,20.80%,98,23.00%,Y
2018-2019,1,61176,130435,Alameda,Fremont Unified,Vista Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,34,17,50.00%,19,55.90%,30,15,50.00%,17,56.70%,Y
2018-2019,1,61200,130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,1,12,136,41,30.10%,41,30.10%,128,38,29.70%,38,29.70%,Y
2018-2019,1,61234,130484,Alameda,Newark Unified,Crossroads High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,43,26,60.50%,26,60.50%,39,23,59.00%,23,59.00%,Y
2018-2019,1,61242,110478,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,10,8,80.00%,8,80.00%,9,7,77.80%,7,77.80%,Y
2018-2019,1,61242,126763,Alameda,New Haven Unified,Decoto School for Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,121,49,40.50%,57,47.10%,108,46,42.60%,52,48.10%,Y
2018-2019,1,61259,115667,Alameda,Oakland Unified,Oakland International High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,369,340,92.10%,358,97.00%,248,224,90.30%,239,96.40%,Y
2018-2019,1,61259,119859,Alameda,Oakland Unified,Gateway to College at Laney College,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,78,35,44.90%,37,47.40%,34,13,38.20%,13,38.20%,Y
2018-2019,1,61259,130179,Alameda,Oakland Unified,Street Academy (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,107,90,84.10%,92,86.00%,103,87,84.50%,89,86.40%,Y
2018-2019,1,61309,111799,Alameda,San Lorenzo Unified,East Bay Arts High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,214,127,59.30%,137,64.00%,207,123,59.40%,133,64.30%,Y
2018-2019,3,73981,330050,Amador,Amador County Unified,North Star Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,53,27,50.90%,27,50.90%,51,26,51.00%,26,51.00%,Y
2018-2019,4,61424,430199,Butte,Chico Unified,Oakdale,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,K,12,150,100,66.70%,103,68.70%,134,91,67.90%,94,70.10%,Y
2018-2019,4,61424,6003008,Butte,Chico Unified,Hooker Oak Elementary,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,5,369,152,41.20%,169,45.80%,355,150,42.30%,166,46.80%,Y
2018-2019,4,61424,6003107,Butte,Chico Unified,Sierra View Elementary,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,5,563,104,18.50%,114,20.20%,563,104,18.50%,114,20.20%,Y
2018-2019,5,61556,530121,Calaveras,Bret Harte Union High,John Vierra High,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,21,3,14.30%,3,14.30%,21,3,14.30%,3,14.30%,Y
2018-2019,5,61564,530055,Calaveras,Calaveras Unified,Calaveras Unified Alternative-Sierra Hills Education Center,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,37,19,51.40%,21,56.80%,34,16,47.10%,18,52.90%,Y
2018-2019,6,61598,630046,Colusa,Colusa Unified,Colusa Alternative Home,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,64,32,50.00%,33,51.60%,59,29,49.20%,30,50.80%,Y
2018-2019,7,61630,107524,Contra Costa,Acalanes Union High,Acalanes Center for Independent Study,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,27,2,7.40%,2,7.40%,23,2,8.70%,2,8.70%,Y
2018-2019,7,61648,117218,Contra Costa,Antioch Unified,Dozier-Libbey Medical High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,713,325,45.60%,397,55.70%,702,316,45.00%,388,55.30%,Y
2018-2019,7,61648,730259,Contra Costa,Antioch Unified,Prospects High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,348,214,61.50%,218,62.60%,249,156,62.70%,158,63.50%,Y
2018-2019,7,61721,730572,Contra Costa,Liberty Union High,Independence High,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,250,53,21.20%,53,21.20%,212,44,20.80%,44,20.80%,Y
2018-2019,7,61739,730473,Contra Costa,Martinez Unified,Briones (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,63,27,42.90%,28,44.40%,62,26,41.90%,27,43.50%,Y
2018-2019,7,61754,138115,Contra Costa,Mt. Diablo Unified,Crossroads High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,33,28,84.80%,28,84.80%,21,19,90.50%,19,90.50%,Y
2018-2019,7,61754,730317,Contra Costa,Mt. Diablo Unified,Horizons School: Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,155,46,29.70%,53,34.20%,148,44,29.70%,51,34.50%,Y
2018-2019,7,61796,730325,Contra Costa,West Contra Costa Unified,Vista High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,Provision 2,No ,N/A,N/A,N,K,12,253,169,66.80%,185,73.10%,133,68,51.10%,78,58.60%,Y
