,school_code,charter_y_n,school_name,district_name,school_type,enrollment_k12,free_meal_count_k12,percent_eligible_free_k12,frpm_count_k12,frpm_percent_eligible_k12,act_12_enrolled,act_num_test_takers,act_num_comp_ge21,act_pct_ge21,sat_12_enrolled,sat_num_test_takers,sat_tot_num_benchmark,sat_pct_benchmark
0,106401,No ,Alameda Science and Technology Institute,Alameda Unified,Alternative Schools of Choice,192,47,0.245,55,0.28600000000000003,43.0,12.0,0.0,0.0,43.0,32.0,28.0,87.5
1,126656,No ,Maya Lin,Alameda Unified,Alternative Schools of Choice,427,89,0.20800000000000002,98,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,130435,No ,Vista Alternative,Fremont Unified,Alternative Schools of Choice,34,17,0.5,19,0.5589999999999999,20.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0
3,130393,No ,Vineyard Alternative,Livermore Valley Joint Unified,Alternative Schools of Choice,136,41,0.301,41,0.301,49.0,3.0,0.0,0.0,49.0,5.0,0.0,0.0
4,130484,No ,Crossroads High (Alternative),Newark Unified,Alternative Schools of Choice,43,26,0.605,26,0.605,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
5,110478,No ,Alternative Learning Academy at Conley-Caraballo High,New Haven Unified,Alternative Schools of Choice,10,8,0.8,8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,126763,No ,Decoto School for Independent Study,New Haven Unified,Alternative Schools of Choice,121,49,0.405,57,0.47100000000000003,52.0,0.0,0.0,0.0,52.0,1.0,0.0,0.0
7,115667,No ,Oakland International High,Oakland Unified,Alternative Schools of Choice,369,340,0.9209999999999999,358,0.97,105.0,0.0,0.0,0.0,105.0,24.0,1.0,4.17
8,119859,No ,Gateway to College at Laney College,Oakland Unified,Alternative Schools of Choice,78,35,0.449,37,0.474,65.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0
9,130179,No ,Street Academy (Alternative),Oakland Unified,Alternative Schools of Choice,107,90,0.841,92,0.86,23.0,5.0,0.0,0.0,23.0,9.0,0.0,0.0
10,111799,No ,East Bay Arts High,San Lorenzo Unified,Alternative Schools of Choice,214,127,0.593,137,0.64,42.0,1.0,0.0,0.0,42.0,16.0,4.0,25.0
11,330050,No ,North Star Independent Study,Amador County Unified,Alternative Schools of Choice,53,27,0.509,27,0.509,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
12,430199,No ,Oakdale,Chico Unified,Alternative Schools of Choice,150,100,0.667,103,0.687,43.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0
13,6003008,No ,Hooker Oak Elementary,Chico Unified,Alternative Schools of Choice,369,152,0.41200000000000003,169,0.45799999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,6003107,No ,Sierra View Elementary,Chico Unified,Alternative Schools of Choice,563,104,0.185,114,0.20199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,530121,No ,John Vierra High,Bret Harte Union High,Alternative Schools of Choice,21,3,0.14300000000000002,3,0.14300000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,530055,No ,Calaveras Unified Alternative-Sierra Hills Education Center,Calaveras Unified,Alternative Schools of Choice,37,19,0.514,21,0.568,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
